annee,date_arrondie,sous_famille,categorie,prix_moyen
2014,2014-04-01,légume frais : autres,Prix moyen du produit local en magasin,240
2014,2014-04-01,"melon, pastèque",Prix moyen du produit importé en magasin,141.78947368421052
2014,2014-04-01,"melon, pastèque",Prix moyen du produit local en magasin,400
2014,2014-04-01,salade et tomate,Prix moyen du produit importé en magasin,660
2014,2014-04-01,salade et tomate,Prix moyen du produit local en magasin,847.5
2014,2014-05-01,"abricot, pêche, nectarine, prune",Prix moyen du produit importé en magasin,460
2014,2014-05-01,"ail, oignon, échalote",Prix moyen du produit local en magasin,240
2014,2014-05-01,"aubergine, courgette, poivron",Prix moyen du produit local en magasin,950
2014,2014-05-01,"carotte, pomme de terre",Prix moyen du produit local en magasin,400
2014,2014-05-01,fruit exotique,Prix moyen du produit importé en magasin,45
2014,2014-05-01,"melon, pastèque",Prix moyen du produit importé en magasin,110
2014,2014-06-01,"melon, pastèque",Prix moyen du produit importé en magasin,99
2014,2014-07-01,agrume,Prix moyen du produit importé en magasin,545
2014,2014-07-01,agrume,Prix moyen du produit local en magasin,555.8888888888889
2014,2014-07-01,"ail, oignon, échalote",Prix moyen du produit importé en magasin,332.8333333333333
2014,2014-07-01,"ail, oignon, échalote",Prix moyen du produit local en magasin,391
2014,2014-07-01,"aubergine, courgette, poivron",Prix moyen du produit importé en magasin,675
2014,2014-07-01,"aubergine, courgette, poivron",Prix moyen du produit local en magasin,671.6666666666666
2014,2014-07-01,"banane, kiwi",Prix moyen du produit local en magasin,555.75
2014,2014-07-01,"carotte, pomme de terre",Prix moyen du produit importé en magasin,193.66666666666666
2014,2014-07-01,"carotte, pomme de terre",Prix moyen du produit local en magasin,567.5
2014,2014-07-01,"chou, poireau, navet, céleri",Prix moyen du produit importé en magasin,607.5
2014,2014-07-01,"chou, poireau, navet, céleri",Prix moyen du produit local en magasin,318.5
2014,2014-07-01,"concombre, avocat, betterave, radis",Prix moyen du produit importé en magasin,292
2014,2014-07-01,"concombre, avocat, betterave, radis",Prix moyen du produit local en magasin,330
2014,2014-07-01,fruit exotique,Prix moyen du produit local en magasin,427.6666666666667
2014,2014-07-01,légume frais : autres,Prix moyen du produit local en magasin,391.5
2014,2014-07-01,"melon, pastèque",Prix moyen du produit importé en magasin,99
2014,2014-07-01,"melon, pastèque",Prix moyen du produit local en magasin,652.5
2014,2014-07-01,salade et tomate,Prix moyen du produit importé en magasin,950
2014,2014-07-01,salade et tomate,Prix moyen du produit local en magasin,950
2014,2014-08-01,"melon, pastèque",Prix moyen du produit importé en magasin,99
2014,2014-09-01,agrume,Prix moyen du produit local en magasin,480
2014,2014-09-01,"ail, oignon, échalote",Prix moyen du produit importé en magasin,391
2014,2014-09-01,"ail, oignon, échalote",Prix moyen du produit local en magasin,330
2014,2014-09-01,"aubergine, courgette, poivron",Prix moyen du produit importé en magasin,1020
2014,2014-09-01,"aubergine, courgette, poivron",Prix moyen du produit local en magasin,445
2014,2014-09-01,"carotte, pomme de terre",Prix moyen du produit local en magasin,435
2014,2014-09-01,"chou, poireau, navet, céleri",Prix moyen du produit importé en magasin,831.6666666666666
2014,2014-09-01,"chou, poireau, navet, céleri",Prix moyen du produit local en magasin,429
2014,2014-09-01,"concombre, avocat, betterave, radis",Prix moyen du produit local en magasin,205
2014,2014-09-01,"melon, pastèque",Prix moyen du produit importé en magasin,99
2014,2014-09-01,salade et tomate,Prix moyen du produit local en magasin,400
2014,2014-10-01,"ail, oignon, échalote",Prix moyen du produit importé en magasin,1130
2014,2014-10-01,"aubergine, courgette, poivron",Prix moyen du produit importé en magasin,1610
2014,2014-10-01,"carotte, pomme de terre",Prix moyen du produit importé en magasin,720
2014,2014-10-01,"concombre, avocat, betterave, radis",Prix moyen du produit importé en magasin,665
2014,2014-10-01,"melon, pastèque",Prix moyen du produit importé en magasin,99
2014,2014-10-01,salade et tomate,Prix moyen du produit local en magasin,940
2014,2014-11-01,"melon, pastèque",Prix moyen du produit importé en magasin,99
2014,2014-12-01,"melon, pastèque",Prix moyen du produit importé en magasin,99
2015,2015-01-01,"melon, pastèque",Prix moyen du produit importé en magasin,99
2015,2015-02-01,"melon, pastèque",Prix moyen du produit importé en magasin,99
2015,2015-03-01,agrume,Prix moyen du produit importé en magasin,650
2015,2015-03-01,agrume,Prix moyen du produit local en magasin,500
2015,2015-03-01,"ail, oignon, échalote",Prix moyen du produit importé en magasin,162
2015,2015-03-01,"banane, kiwi",Prix moyen du produit local en magasin,380
2015,2015-03-01,"carotte, pomme de terre",Prix moyen du produit importé en magasin,327.5
2015,2015-03-01,"carotte, pomme de terre",Prix moyen du produit local en magasin,690
2015,2015-03-01,"chou, poireau, navet, céleri",Prix moyen du produit local en magasin,700
2015,2015-03-01,"melon, pastèque",Prix moyen du produit importé en magasin,99
2015,2015-03-01,salade et tomate,Prix moyen du produit local en magasin,817.5
2015,2015-04-01,agrume,Prix moyen du produit local en magasin,337
2015,2015-04-01,"ail, oignon, échalote",Prix moyen du produit importé en magasin,114
2015,2015-04-01,"banane, kiwi",Prix moyen du produit local en magasin,560
2015,2015-04-01,"carotte, pomme de terre",Prix moyen du produit importé en magasin,209
2015,2015-04-01,"carotte, pomme de terre",Prix moyen du produit local en magasin,880
2015,2015-04-01,"chou, poireau, navet, céleri",Prix moyen du produit local en magasin,540
2015,2015-04-01,"melon, pastèque",Prix moyen du produit importé en magasin,99
2015,2015-04-01,salade et tomate,Prix moyen du produit local en magasin,877
2015,2015-05-01,"melon, pastèque",Prix moyen du produit importé en magasin,99
2015,2015-06-01,"melon, pastèque",Prix moyen du produit importé en magasin,99
